[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1473102611.120000 9/6/2016, 7:10:11 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, A344
INFO, WEIGHT, 10.500
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, m = 0.0105g
INFO, SEQUENCE FILE: 7T_hysteresis_sweep_hi_res_zero_n4.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1473102611.119,,7.000000e+004,2.016301e+001,1.234112e-003,0.000000e+000,6.133169e-003,0.000000e+000,3,9.512879e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,1.810074e-002,0,0,0,
1473102624.192,,7.000000e+004,2.019900e+001,1.234177e-003,0.000000e+000,6.236156e-003,0.000000e+000,3,9.514847e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,1.651001e-002,0,0,0,
1473102637.835,,7.000000e+004,2.023980e+001,1.233835e-003,0.000000e+000,6.419840e-003,0.000000e+000,3,9.513797e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,2.540970e-002,0,0,0,
1473102650.407,,7.000000e+004,2.027716e+001,1.233373e-003,0.000000e+000,6.250783e-003,0.000000e+000,3,9.513971e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,3.492928e-002,0,0,0,
1473102820.887,,6.000000e+004,2.069683e+001,1.232649e-003,0.000000e+000,5.126455e-003,0.000000e+000,3,9.514588e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,3.866005e-002,0,1,0,
1473102833.602,,6.000000e+004,2.075555e+001,1.232443e-003,0.000000e+000,4.908554e-003,0.000000e+000,3,9.507880e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,3.481102e-002,0,1,0,
1473102847.844,,6.000000e+004,2.082195e+001,1.232337e-003,0.000000e+000,5.186838e-003,0.000000e+000,3,9.516941e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,7.239151e-002,0,1,0,
1473102861.309,,6.000000e+004,2.088958e+001,1.229967e-003,0.000000e+000,5.412573e-003,0.000000e+000,3,9.521934e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,6.286812e-002,0,1,0,
1473103027.066,,5.000000e+004,2.167189e+001,1.222669e-003,0.000000e+000,5.425691e-003,0.000000e+000,3,9.517329e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,4.604912e-002,0,1,0,
1473103040.280,,5.000000e+004,2.174625e+001,1.220609e-003,0.000000e+000,6.097374e-003,0.000000e+000,3,9.531794e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,4.951859e-002,0,1,0,
1473103053.995,,5.000000e+004,2.181697e+001,1.225896e-003,0.000000e+000,4.619890e-003,0.000000e+000,3,9.525110e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,6.389999e-002,0,1,0,
1473103067.210,,5.000000e+004,2.189548e+001,1.220444e-003,0.000000e+000,4.663194e-003,0.000000e+000,3,9.530826e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,3.924942e-002,0,1,0,
1473103233.193,,4.000000e+004,2.248328e+001,1.219493e-003,0.000000e+000,4.087412e-003,0.000000e+000,3,9.492919e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,3.656960e-002,0,0,0,
1473103246.966,,4.000000e+004,2.254200e+001,1.215047e-003,0.000000e+000,1.974744e-003,0.000000e+000,3,9.543691e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,3.607941e-002,0,0,0,
1473103257.930,,4.000000e+004,2.258223e+001,1.215981e-003,0.000000e+000,2.557341e-003,0.000000e+000,3,9.538165e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,4.438972e-002,0,0,0,
1473103270.144,,4.000000e+004,2.262225e+001,1.214732e-003,0.000000e+000,3.225968e-003,0.000000e+000,3,9.517504e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,3.564072e-002,0,0,0,
1473103432.566,,3.000000e+004,2.307917e+001,1.207988e-003,0.000000e+000,2.594992e-003,0.000000e+000,3,9.527539e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,3.133965e-002,0,0,0,
1473103444.906,,3.000000e+004,2.312056e+001,1.207131e-003,0.000000e+000,2.611722e-003,0.000000e+000,3,9.525008e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,3.287888e-002,0,0,0,
1473103458.120,,3.000000e+004,2.316784e+001,1.207290e-003,0.000000e+000,2.750693e-003,0.000000e+000,3,9.527052e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,4.305840e-002,0,0,0,
