[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1473351021.298000 9/9/2016, 4:10:21 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, A344
INFO, WEIGHT, 10.500
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, m = 0.0105g
INFO, SEQUENCE FILE: ZFC_5K-120K.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1473351021.297,,5.000000e+002,4.970631e+000,1.098326e-003,0.000000e+000,4.178550e-003,0.000000e+000,3,9.688616e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,2.316952e-003,0,0,0,
1473351034.011,,5.000000e+002,4.971606e+000,1.098500e-003,0.000000e+000,4.250739e-003,0.000000e+000,3,9.688304e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,8.549690e-004,0,0,0,
1473351047.475,,5.000000e+002,4.969351e+000,1.098561e-003,0.000000e+000,4.199551e-003,0.000000e+000,3,9.688636e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,2.683163e-003,0,1,0,
1473351059.120,,5.000000e+002,4.968191e+000,1.098732e-003,0.000000e+000,4.239358e-003,0.000000e+000,3,9.687921e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,3.647804e-004,0,1,0,
1473351161.705,,5.000000e+002,6.222412e+000,1.103560e-003,0.000000e+000,4.222406e-003,0.000000e+000,3,9.688609e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,1.234469e-001,0,1,0,
1473351174.436,,5.000000e+002,6.443357e+000,1.104791e-003,0.000000e+000,4.198098e-003,0.000000e+000,3,9.689192e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,1.571903e-001,0,1,0,
1473351186.650,,5.000000e+002,6.651884e+000,1.106000e-003,0.000000e+000,4.203786e-003,0.000000e+000,3,9.689106e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,1.061668e-001,0,1,0,
1473351201.615,,5.000000e+002,6.856950e+000,1.107379e-003,0.000000e+000,4.202589e-003,0.000000e+000,3,9.689876e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,1.544271e-001,0,1,0,
1473351217.770,,5.000000e+002,7.120724e+000,1.108686e-003,0.000000e+000,4.228281e-003,0.000000e+000,3,9.689826e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,1.443086e-001,0,1,0,
1473351229.092,,5.000000e+002,7.309929e+000,1.109565e-003,0.000000e+000,4.196050e-003,0.000000e+000,3,9.690173e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,5.000000e+000,5.000000e-001,2,1,1.556683e-001,0,1,0,
